,case,C,T0,Tf,alpha,L,D,check,mean_time,efficacy,clusters
0,20x20.txt,2,10,0.002,0.7,10,6,4,0.63076985,0.42028985507246375,5
1,20x20.txt,2,10,0.002,0.7,10,12,4,0.32532549,0.4034090909090909,3
2,20x20.txt,2,10,0.002,0.7,10,18,4,0.35350585,0.4034090909090909,3
3,20x20.txt,2,10,0.002,0.7,30,6,4,5.80968761,0.4244604316546763,5
4,20x20.txt,2,10,0.002,0.7,30,12,4,1.19016504,0.4034090909090909,3
5,20x20.txt,2,10,0.002,0.7,30,18,4,1.28564596,0.4034090909090909,3
6,20x20.txt,2,10,0.002,0.7,70,6,4,10.409518,0.4244604316546763,5
7,20x20.txt,2,10,0.002,0.7,70,12,4,2.63701677,0.4034090909090909,3
8,20x20.txt,2,10,0.002,0.7,70,18,4,2.63706303,0.4034090909090909,3
9,20x20.txt,2,10,0.002,0.8,10,6,4,0.75620961,0.42028985507246375,5
10,20x20.txt,2,10,0.002,0.8,10,12,4,0.17905593,0.4034090909090909,3
11,20x20.txt,2,10,0.002,0.8,10,18,4,0.24685025,0.4034090909090909,3
12,20x20.txt,2,10,0.002,0.8,30,6,4,5.89538383,0.4244604316546763,5
13,20x20.txt,2,10,0.002,0.8,30,12,4,2.11700511,0.4034090909090909,3
14,20x20.txt,2,10,0.002,0.8,30,18,4,2.08913004,0.4034090909090909,3
15,20x20.txt,2,10,0.002,0.8,70,6,4,15.66578257,0.4244604316546763,5
16,20x20.txt,2,10,0.002,0.8,70,12,4,4.87187862,0.4034090909090909,3
17,20x20.txt,2,10,0.002,0.8,70,18,4,4.73805094,0.4034090909090909,3
18,20x20.txt,2,10,0.002,0.9,10,6,4,1.17483544,0.4244604316546763,5
19,20x20.txt,2,10,0.002,0.9,10,12,4,0.3933152,0.4034090909090909,3
20,20x20.txt,2,10,0.002,0.9,10,18,4,0.23283517,0.4034090909090909,3
21,20x20.txt,2,10,0.002,0.9,30,6,4,10.33308005,0.4244604316546763,5
22,20x20.txt,2,10,0.002,0.9,30,12,4,4.67056739,0.4034090909090909,3
23,20x20.txt,2,10,0.002,0.9,30,18,4,4.62898803,0.4034090909090909,3
24,20x20.txt,2,10,0.002,0.9,70,6,4,18.13273799,0.4244604316546763,5
25,20x20.txt,2,10,0.002,0.9,70,12,4,10.71629608,0.4034090909090909,3
26,20x20.txt,2,10,0.002,0.9,70,18,4,10.74806547,0.4034090909090909,3
27,20x20.txt,2,30,0.002,0.7,10,6,4,1.29698896,0.4244604316546763,5
28,20x20.txt,2,30,0.002,0.7,10,12,4,0.21642792,0.4034090909090909,3
29,20x20.txt,2,30,0.002,0.7,10,18,4,0.34266245,0.4034090909090909,3
30,20x20.txt,2,30,0.002,0.7,30,6,4,4.84246588,0.4244604316546763,5
31,20x20.txt,2,30,0.002,0.7,30,12,4,1.38794398,0.4034090909090909,3
32,20x20.txt,2,30,0.002,0.7,30,18,4,1.38582635,0.4034090909090909,3
33,20x20.txt,2,30,0.002,0.7,70,6,4,15.26422763,0.4244604316546763,5
34,20x20.txt,2,30,0.002,0.7,70,12,4,3.06106663,0.4034090909090909,3
35,20x20.txt,2,30,0.002,0.7,70,18,4,3.05982041,0.4034090909090909,3
36,20x20.txt,2,30,0.002,0.8,10,6,4,1.23178148,0.4244604316546763,5
37,20x20.txt,2,30,0.002,0.8,10,12,4,0.4211055,0.4034090909090909,3
38,20x20.txt,2,30,0.002,0.8,10,18,4,0.17915034,0.4034090909090909,3
39,20x20.txt,2,30,0.002,0.8,30,6,4,9.01313102,0.4244604316546763,5
