,case,C,T0,Tf,alpha,L,D,check,mean_time,efficacy,clusters
0,20x20.txt,2,50,0.002,0.7,70,6,4,18.08109903,0.4244604316546763,5
1,20x20.txt,2,50,0.002,0.7,70,12,4,3.41511989,0.4034090909090909,3
2,20x20.txt,2,50,0.002,0.7,70,18,4,3.36861587,0.4034090909090909,3
3,20x20.txt,6,50,0.002,0.7,70,6,4,27.4077661,0.4146341463414634,7
4,20x20.txt,6,50,0.002,0.7,70,12,4,25.07039714,0.4214876033057851,7
5,20x20.txt,6,50,0.002,0.7,70,18,4,32.84777379,0.4146341463414634,7
6,20x20.txt,10,50,0.002,0.7,70,6,4,0.28583002,0.36134453781512604,10
7,20x20.txt,10,50,0.002,0.7,70,12,4,0.32652807,0.36134453781512604,10
8,20x20.txt,10,50,0.002,0.7,70,18,4,0.30010796,0.36134453781512604,10
9,24x40.txt,2,50,0.002,0.7,70,6,4,1.76777577,0.3648068669527897,5
10,24x40.txt,2,50,0.002,0.7,70,12,4,8.53501487,0.36324786324786323,5
11,24x40.txt,2,50,0.002,0.7,70,18,4,1.00279999,0.36324786324786323,5
12,24x40.txt,6,50,0.002,0.7,70,6,4,15.00415111,0.4052631578947368,7
13,24x40.txt,6,50,0.002,0.7,70,12,4,1.965271,0.418848167539267,7
14,24x40.txt,6,50,0.002,0.7,70,18,4,13.1276958,0.418848167539267,7
15,24x40.txt,10,50,0.002,0.7,70,6,4,2.43690181,0.4563758389261745,11
16,24x40.txt,10,50,0.002,0.7,70,12,4,2.25754118,0.4563758389261745,11
17,24x40.txt,10,50,0.002,0.7,70,18,4,2.24271297,0.4563758389261745,11
18,30x50.txt,2,50,0.002,0.7,70,6,4,24.04382896,0.48792270531400966,10
19,30x50.txt,2,50,0.002,0.7,70,12,4,13.74212503,0.48792270531400966,10
20,30x50.txt,2,50,0.002,0.7,70,18,4,15.32087684,0.48792270531400966,10
21,30x50.txt,6,50,0.002,0.7,70,6,4,6.05938411,0.48792270531400966,10
22,30x50.txt,6,50,0.002,0.7,70,12,4,3.62063432,0.48792270531400966,10
23,30x50.txt,6,50,0.002,0.7,70,18,4,4.56557202,0.48792270531400966,10
24,30x50.txt,10,50,0.002,0.7,70,6,4,1.28897381,0.48792270531400966,10
25,30x50.txt,10,50,0.002,0.7,70,12,4,1.24475694,0.48792270531400966,10
26,30x50.txt,10,50,0.002,0.7,70,18,4,1.2253449,0.48792270531400966,10
27,30x90.txt,2,50,0.002,0.7,70,6,4,2.48627591,0.24476987447698745,3
28,30x90.txt,2,50,0.002,0.7,70,12,4,3.20625377,0.267223382045929,3
29,30x90.txt,2,50,0.002,0.7,70,18,4,5.64868569,0.32798165137614677,5
30,30x90.txt,6,50,0.002,0.7,70,6,4,5.06279612,0.35910224438902744,7
31,30x90.txt,6,50,0.002,0.7,70,12,4,5.11449289,0.36683417085427134,7
32,30x90.txt,6,50,0.002,0.7,70,18,4,5.29290318,0.36159600997506236,7
33,30x90.txt,10,50,0.002,0.7,70,6,4,15.79377913,0.3994708994708995,11
34,30x90.txt,10,50,0.002,0.7,70,12,4,8.58575821,0.3888888888888889,11
35,30x90.txt,10,50,0.002,0.7,70,18,4,11.89044809,0.39166666666666666,11
36,37x53.txt,2,50,0.002,0.7,70,6,4,0.9047842,0.6046511627906976,3
37,37x53.txt,2,50,0.002,0.7,70,12,4,0.87435818,0.6046511627906976,3
38,37x53.txt,2,50,0.002,0.7,70,18,4,0.90328908,0.6007359705611776,3
39,37x53.txt,6,50,0.002,0.7,70,6,4,1.40503788,0.5483234714003945,6
40,37x53.txt,6,50,0.002,0.7,70,12,4,1.46305203,0.46146341463414636,7
41,37x53.txt,6,50,0.002,0.7,70,18,4,1.26358128,0.4309500489715965,7
42,37x53.txt,10,50,0.002,0.7,70,6,4,1.55085278,0.3856858846918489,11
43,37x53.txt,10,50,0.002,0.7,70,12,4,1.46719384,0.3856858846918489,11
44,37x53.txt,10,50,0.002,0.7,70,18,4,1.46388817,0.3856858846918489,11
